"ID",Title,Authors,Status in the selection phase,Status in the full-reading phase,Year,Journal/Conference,Inclusion or Exclusion Criteria (Selection Phase),Inclusion or Exclusion Criteria (Full-reading Phase),Method,Quality criteria,Collaborative activity,Object under evaluation,Type of approach
250,Getting closer and experiencing together: Antecedents and consequencesof psychological distance in social media-enhanced real-time streamingvideo,"Lim, Seongtaek and Cha, Sang Yun and Park, Chala and Lee, Inseong andKim, Jinwoo",REJECTED,UNCLASSIFIED,2012,Computer in Humans Behaviour,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
251,Global annotation on georeferenced photographs,"Kleban, J. and Moxley, E. and Xu, J. and Manjunath, B.S.",REJECTED,UNCLASSIFIED,2009, International Conference on Image and Video Retrieval,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
252,gMission: A general spatial crowdsourcing platform,"Chen, Z. and Fu, R. and Zhao, Z. and Liu, Z. and Xia, L. and Chen, L. and Cheng, P. and Chen Cao, C. and Tong, Y. and Jason Zhang, C.",REJECTED,UNCLASSIFIED,2014,VLDB Endowment,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
253,Heterogeneous  Features and  Model  Selection for  Event-based  Media  Classification,"Liu, Xueliang and Huet, Benoit",REJECTED,UNCLASSIFIED,2013,3rd  ACM  Conference on  International  Conference on  Multimedia  Retrieval,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
254,Hiding on the road - Anonymous usage of location based services,"Walsh, A. and Pfeifer, T.",REJECTED,UNCLASSIFIED,2011,36th Conference on Local Computer Networks,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
255,High performance integrated spatial big data analytics,"Chen, X.a  and Vo, H.b  and Aji, A.c  and Wang, F.a ",REJECTED,UNCLASSIFIED,2014,3rd ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
256,"Holistic sense-making: Conflicting opinions, creative ideas, and collective intelligence","Chen, C.",REJECTED,UNCLASSIFIED,2007,Library Hi Tech,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
257,Home Location Identification of Twitter Users,"Mahmud, Jalal and Nichols, Jeffrey and Drews, Clemens",REJECTED,UNCLASSIFIED,2014,ACM Transactions on Intelligent Sstems and Technology,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
258,Hootenanny: Web enabeled geospatial vector-data conflation and map generation,"Canavosio-Zuzelski, R. and Surratt, J. and Bower, D. and Governski, J. and Sorenson, M.",REJECTED,UNCLASSIFIED,2015,Imaging and Geospatial Technology Forum,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
259,How  People  Describe  Their  Place:  Identifying  Predominant  Types of  Place  Descriptions,"Richter, Daniela and Winter, Stephan and Richter, Kai-Florian and Stirling, Lesley",REJECTED,UNCLASSIFIED,2012,1st  ACM  SIGSPATIAL  International  Workshop on  Crowdsourced and  Volunteered  Geographic  Information,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
260,Human  Activity  Recognition from  Spatial  Data  Sources,"Dashdorj, Zolzaya and Sobolevsky, Stanislav and Serafini, Luciano and Ratti, Carlo",REJECTED,UNCLASSIFIED,2014,3rd  ACM  SIGSPATIAL  International  Workshop on  Mobile  Geographic  Information  Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
261,Human Assisted Positioning Using Textual Signs,"Han, Bo and Qian, Feng and Ra, Moo-Ryong",REJECTED,UNCLASSIFIED,2015,16th International Workshop on Mobile Computing Systems and Applications,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
262,Humour  Reactions in  Crisis:  A  Proximal  Analysis of  Chinese  Posts on  Sina  Weibo in  Reaction to the  Salt  Panic of  March 2011,"Beeston, Gareth Paul and Leon Urrutia, Manuel and Halcrow, Caroline and Xiao, Xianni and Liu, Lu and Wang, Jinchuan and Jay Kim, Jinho and Park, Kunwoo",REJECTED,UNCLASSIFIED,2014,23rd  International  Conference on  World  Wide  Web  Companion,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
263,I2RS: A Distributed Geo-textual Image Retrieval and Recommendation System,"Chen, Lu and Gao, Yunjun and Xing, Zhihao and Jensen, Christian S. and Chen, Gang",REJECTED,UNCLASSIFIED,2015,VLDB Endowment,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
264,ICWSM 2007 - International conference on weblogs and social media,,REJECTED,UNCLASSIFIED,2007, International Conference on Weblogs and Social Media,(E8) the primary study is a conference summary or call for papers; ,,,,,,
265,Identification of (Near) Real-time Traffic Congestion in the Cities of Australia Through Twitter,"Gong, Yikai and Deng, Fengmin and Sinnott, Richard O.",REJECTED,UNCLASSIFIED,2015,1st International Workshop on Understanding the City with Urban Informatics,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
266,Identification of valid turning movements of road networks using low frequency GPS data,"Teo, K.H.a  and Lim, K.K.a  and Robinson, S.b ",REJECTED,UNCLASSIFIED,2013,18th International Conference of Hong Kong Society for Transportation Studies,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
267,Identifying Disruptive Events from Social Media to Enhance Situational Awareness,"Alsaedi, Nasser and Burnap, Pete and Rana, Omer",REJECTED,UNCLASSIFIED,2015, International Conference on Advances in Social Networks Analysis and Mining,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
268,"IFIP TC 8 WG 8.9 International Conference on Research and Practical lssues of Enterprise Information Systems, CONFENIS 2007",,REJECTED,UNCLASSIFIED,2008,IFIP Advances in Information and Communication Technology,(E8) the primary study is a conference summary or call for papers; ,,,,,,
269,I'M Eating a Sandwich in Glasgow: Modeling Locations with Tweets,"Kinsella, Sheila and Murdock, Vanessa and O'Hare, Neil",REJECTED,UNCLASSIFIED,2011,3rd International Workshop on Search and Mining User-generated Contents,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
270,IM2MAP: Deriving maps from georeferenced community contributed photo collections,"Xie, L. and Newsam, S.",REJECTED,UNCLASSIFIED,2011, ACM Multimedia Conference and Co-Located Workshops,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
271,Image Sequence Geolocation with Human Travel Priors,"Kalogerakis, Evangelos and Vesselova, Olga and Hays, James and Efros,Alexei A. and Hertzmann, Aaron",REJECTED,UNCLASSIFIED,2009, 12th International Conference on Computer Vision,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
272,Implementing a virtual community of practice for family physician training: A mixed-methods case study,"Barnett, S.a  and Jones, S.C.b  and Caton, T.c  and Iverson, D.d  and Bennett, S.e  and Robinson, L.f ",REJECTED,UNCLASSIFIED,2014,Journal of Medical Internet Research,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
273,Improved transient weather reporting using people centric sensing,"Phillips, W.D.a  b  and Sankar, R.b ",REJECTED,UNCLASSIFIED,2013,10th Consumer Communications and Networking Conference,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
274,Improving  Location  Recommendations with  Temporal  Pattern  Extraction,"Marinho, Leandro Balby and Nunes, Iury and Sandholm, Thomas and Nobrega, Caio and Araujo, Jordao and Pires, Carlos Eduardo Santos",REJECTED,UNCLASSIFIED,2012,18th  Brazilian  Symposium on  Multimedia and the  Web,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
275,Increasing the  Bandwidth of  Crowdsourced  Visual  Question  Answering to  Better  Support  Blind  Users,"Lasecki, Walter S. and Zhong, Yu and Bigham, Jeffrey P.",REJECTED,UNCLASSIFIED,2014,16th  International  ACM  SIGACCESS  Conference on  Computers &  Accessibility,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
276,Industry in motion: Using smart phones to explore the spatial network of the garment industry in New York City,"Williams, S.a  and Currid-Halkett, E.b ",REJECTED,UNCLASSIFIED,2014,PLoS ONE,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
277,Inferring  Twitter  User  Locations with 10  Km  Accuracy,"Ryoo, KyoungMin and Moon, Sue",REJECTED,UNCLASSIFIED,2014, 23rd  International  Conference on  World  Wide  Web  Companion,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
278,Inferring home location from user's photo collections based on visual content and mobility patterns,"Zheng, D. and Hu, T. and You, Q. and Kautz, H. and Luo, J.",REJECTED,UNCLASSIFIED,2014,3rd ACM Workshop on Geotagging and Its Applications in Multimedia,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
279,Inferring the origin locations of tweets with quantitative confidence,"Priedhorsky, R.a  and Culotta, A.b  and Del Valle, S.Y.a ",REJECTED,UNCLASSIFIED,2014,ACM Conference on Computer Supported Cooperative Work,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
280,International Conference Computational Science and Its Applications,,REJECTED,UNCLASSIFIED,2011,Lecture Notes in Computer Science ,(E8) the primary study is a conference summary or call for papers; ,,,,,,
281,Internet Atlas: A Geographic Database of the  Internet,"Durairajan, Ramakrishnan and Ghosh, Subhadip and Tang, Xin and Barford, Paul and Eriksson, Brian",REJECTED,UNCLASSIFIED,2013,5th  ACM  Workshop on  HotPlanet,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
282,Investigating temporal and spatial trends of brand images using twitter opinion mining,"Cho, S.W.a  and Cha, M.S.a  and Kim, S.Y.a  and Song, J.C.b  and Sohn, K.-A.a ",REJECTED,UNCLASSIFIED,2014,5th International Conference on Information Science and Applications,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
283,Is my information private? Geo-privacy in the World of Social Media,"Kar, B.a  and Ghose, R.b ",REJECTED,UNCLASSIFIED,2014,CEUR Workshop Proceedings,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
284,J911: The Case for Fast Jammer Detection and Location UsingCrowdsourcing Approaches,"Scott, Logan",REJECTED,UNCLASSIFIED,2011,24th International Technical Meeting of the Satellite Division of the Institute of Navigation,"(E1) the primary study is related to quality assessment, but it is not related to volunteered geographic information; ",,,,,,
285,Jasmine: A real-time local-event detection system based on geolocation information propagated to microblogs,"Watanabe, K.a  and Ochi, M.a  and Okabe, M.a  b  and Onai, R.a ",REJECTED,UNCLASSIFIED,2011,"International Conference on Information and Knowledge Management, Proceedings","(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
286,Knowledge formalization for vector data matching using belief theory,"Olteanu-Raimond, A.-M. and Mustiere, S. and Ruas, A.",REJECTED,UNCLASSIFIED,2015,Journal of Spatial Information Science,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
287,Landmark Classification in Large-scale Image Collections,"Li, Yunpeng and Crandall, David J. and Huttenlocher, Daniel P.",REJECTED,UNCLASSIFIED,2009,12th International Conference on Computer Vision,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
288,Large scale image retrieval with practical spatial weighting for bag-of-visual-words,"Wang, F.a  b  and Wang, H.a  and Li, H.a  and Zhang, S.a ",REJECTED,UNCLASSIFIED,2013,Lecture Notes in Computer Science ,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
289,"Large-scale semi-supervised learning by Approximate Laplacian Eigenmaps, VLAD and pyramids","Mantziou, E. and Papadopoulos, S. and Kompatsiaris, Y.",REJECTED,UNCLASSIFIED,2013,International Workshop on Image Analysis for Multimedia Interactive Services,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
290,Learning likely locations,"Krumm, J. and Caruana, R. and Counts, S.",REJECTED,UNCLASSIFIED,2013,Lecture Notes in Computer Science ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
291,Learning to Extract Local Events from the Web,"Foley, John and Bendersky, Michael and Josifovski, Vanja",REJECTED,UNCLASSIFIED,2015,38th International ACM SIGIR Conference on Research and Development in Information Retrieval,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
292,Learning to photograph,"Cheng, B.a  and Ni, B.a  and Yan, S.a  and Tian, Q.b ",REJECTED,UNCLASSIFIED,2010, ACM International Conference on Multimedia,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
293,Leveraging geographical metadata to improve search over social media,"Kotov, A. and Wang, Y. and Agichtein, E.",REJECTED,UNCLASSIFIED,2013, 22nd International Conference on World Wide Web,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
294,Limits of social mobilization,"Rutherford, A.a  and Cebrian, M.b  c  and Dsouza, S.a  and Moro, E.d  e  and Pentland, A.f  and Rahwan, I.a  g ",REJECTED,UNCLASSIFIED,2013,National Academy of Sciences of the United States of America,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
295,Limosa:  A  System for  Geographic  User  Interest  Analysis in  Twitter,"Vosecky, Jan and Jiang, Di and Ng, Wilfred",REJECTED,UNCLASSIFIED,2013,16th  International  Conference on  Extending  Database  Technology,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
296,Local knowledge matters for crowdsourcing systems: Experience from transferring an American site to China,"Torre, F.a  and Liu, Y.a  and Liu, Z.b  and Terveen, L.a ",REJECTED,UNCLASSIFIED,2013,7th International Conference on Weblogs and Social Media,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
297,Location Inference of Social Media Posts at Hyper-Local Scale,"McClanahan, B. & Gokhale, S.",REJECTED,UNCLASSIFIED,2015,3rd International Conference on Future Internet of Things and Cloud,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
298,Location tracking: Views from the older adult population,"Thomas, L.a  and Little, L.a  and Briggs, P.a  and Mcinnes, L.a  and Jones, E.b  and Nicholson, J.a ",REJECTED,UNCLASSIFIED,2013,Age and Ageing,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
299,Machine learning based social media recommendation,"Lai, T. & Zheng, X.",REJECTED,UNCLASSIFIED,2015,2nd IEEE International Conference on Spatial Data Mining and Geographical Knowledge Services ,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
300,MALDI-TOF MS enables the rapid identification of the major molecular types within the cryptococcus neoformans/C. gattii species complex,"Firacative, C.a  b  and Trilles, L.a  c  and Meyer, W.a ",REJECTED,UNCLASSIFIED,2012,PLoS ONE,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
301,Map-Matching Cell Phone Trajectories of Low Spatial and Temporal Accuracy,"Schulze, G.; Horn, C. & Kern, R.",REJECTED,UNCLASSIFIED,2015,18th International Conference on Intelligent Transportation Systems,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
302,Mapping subscribers for better mobile networks,"Coleman, N.",REJECTED,UNCLASSIFIED,2013,GEO: connexion,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
303,Mapping the global Twitter heartbeat: The geography of Twitter,"Leetaru, K.a  and Wang, S.b  c  and Cao, G.b  and Padmanabhan, A.c  and Shook, E.b ",REJECTED,UNCLASSIFIED,2013,First Monday,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
304,Mapping the Twitterverse in the  Developing  World:  An  Analysis of  Social  Media  Use in  Nigeria,"Fink, Clayton and Kopecky, Jonathon and Bos, Nathan and Thomas, Max",REJECTED,UNCLASSIFIED,2012,"5th  International  Conference on  Social  Computing,  Behavioral- Cultural  Modeling and  Prediction","(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
305,Maximizing the number of worker's self-selected tasks in spatial crowdsourcing,"Deng, D. and Shahabi, C. and Demiryurek, U.",REJECTED,UNCLASSIFIED,2013,ACM International Symposium on Advances in Geographic Information Systems,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
306,Measuring the Reliability of Wheelchair User Route Planning based onVolunteered Geographic Information,"Neis, Pascal",REJECTED,UNCLASSIFIED,2015,Transactions in GIS ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
307,Measuring tourist activities in cities using geotagged photography,"Kadar, B.",REJECTED,UNCLASSIFIED,2014,Tourism Geographies,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
308,Measuring Urban Deprivation from User Generated Content,"Venerandi, Alessandro and Quattrone, Giovanni and Capra, Licia and Quercia, Daniele and Saez-Trumper, Diego",REJECTED,UNCLASSIFIED,2015, 18th ACM Conference on Computer Supported Cooperative Work and Social Computing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
309,MediaQ: Mobile Multimedia Management System,"Kim, Seon Ho and Lu, Ying and Constantinou, Giorgos and Shahabi, Cyrus and Wang, Guanfeng and Zimmermann, Roger",REJECTED,UNCLASSIFIED,2014,5th  ACM  Multimedia  Systems  Conference,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
310,Mercury: A memory-constrained spatio-temporal real-time search on microblogs,"Magdy, A.a  and Mokbel, M.F.a  and Elnikety, S.b  and Nath, S.b  and He, Y.b ",REJECTED,UNCLASSIFIED,2014,International Conference on Data Engineering,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
311,Mesh extraction from a regular grid structure using adjacency matrix,"Tully, D. and El Rhalibi, A. and Pan, Z. and Carter, C. and Sudirman, S.",REJECTED,UNCLASSIFIED,2015,Lecture Notes in Computer Science ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
312,Meta-image navigation augmenters for Unmanned Aircraft Systems (MINA for UAS),"Koray, C.a  and Somani, A.K.a  and Schnaufer, B.b  and Hwang, P.Y.b  and McGraw, G.A.b  and Nadke, J.b ",REJECTED,UNCLASSIFIED,2013,International Society for Optical Engineering,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
313,Mind the map: the impact of culture and economic affluence on crowd-mapping behaviours,"Quattrone, Giovanni and Mashhadi, Afra and Capra, Licia",REJECTED,UNCLASSIFIED,2014,17th  ACM  Conference on  Computer  Supported  Cooperative  Work and  Social  Computing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
314,Mining a  Multilingual  Geographical  Gazetteer from the  Web,"Popescu, Adrian and Grefenstette, Gregory and Bouamor, Houda",REJECTED,UNCLASSIFIED,2009,  International  Joint  Conference on  Web  Intelligence and  Intelligent  Agent  Technology,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
315,Mining Conversations of Geographically Changing Users,"McNamara, Liam and Rohner, Christian",REJECTED,UNCLASSIFIED,2012,21st  International  Conference  Companion on  World  Wide  Web,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
316,Mining the web for points of interest,"Rae, A.a  and Murdock, V.a  and Popescu, A.b  and Bouchard, H.a ",REJECTED,UNCLASSIFIED,2012,International ACM SIGIR Conference on Research and Development in Information Retrieval,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
317,Modeling  Human  Location  Data with  Mixtures of  Kernel  Densities,"Lichman, Moshe and Smyth, Padhraic",REJECTED,UNCLASSIFIED,2014,20th  ACM  SIGKDD  International  Conference on  Knowledge  Discovery and  Data  Mining,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
318,Modeling locations with social media,"O'Hare, N. and Murdock, V.",REJECTED,UNCLASSIFIED,2013,Information Retrieval,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
319,Modeling the adoption of innovations in the presence of geographic and media influences,"Toole, J.L.a  and Cha, M.b  and Gonzalez, M.C.c ",REJECTED,UNCLASSIFIED,2012,PLoS ONE,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
320,Modelling growth of urban crowd-sourced information,"Quattrone, G.a  and Mashhadi, A.b  and Quercia, D.c  and Smith-Clarke, C.a  and Capra, L.a ",REJECTED,UNCLASSIFIED,2014,7th ACM International Conference on Web Search and Data Mining,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
321,MoNoTrac - A mobility trace generator based on OpenStreetMap geo-dat,"Gunes, M.; Juraschek, F.; Blywis, B. & Graff, C.",REJECTED,UNCLASSIFIED,2010, 7th International Conference on Mobile Adhoc and Sensor Systems ,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
322,Moving forward: Location privacy and location awareness,"Duckham, M.",REJECTED,UNCLASSIFIED,2010,3rd ACM SIGSPATIAL International Workshop on Security and Privacy in GIS and LBS,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
323,MSRC at TREC 2011 crowdsourcing track,"Bennett, P.a  and Kamar, E.a  and Kazai, G.b ",REJECTED,UNCLASSIFIED,2011,NIST Special Publication,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
324,Multi-granular street network representation towards quality assessment of OpenStreetMap data,"Jilani, M. and Corcoran, P. and Bertolotto, M.",REJECTED,UNCLASSIFIED,2013,6th ACM SIGSPATIAL International Workshop on Computational Transportation Science,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
325,Multi-modal bike sensing for automatic geo-annotation geo-annotation of road/terrain type by participatory bike-sensing,"Verstockt, S.a  and Slavkovikj, V.a  and De Potter, P.a  and Slowack, J.b  and Van De Walle, R.a ",REJECTED,UNCLASSIFIED,2013,10th International Conference on Signal Processing and Multimedia Applications and 10th International Conference on Wireless Information Networks and Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
326,Multimodal geo-tagging in social media websites using hierarchical spatial segmentation,"Kelm, P. and Schmiedeke, S. and Sikora, T.",REJECTED,UNCLASSIFIED,2012,5th ACM SIGSPATIAL International Workshop on Location-Based Social Networks,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
327,Multi-Modal Image Retrieval for Complex Queries Using Small Codes,"Siddiquie, Behjat and White, Brandyn and Sharma, Abhishek and Davis, Larry S.",REJECTED,UNCLASSIFIED,2014,International  Conference on  Multimedia  Retrieval,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
328,Multi-order visual phrase for scalable image search,"Zhang, S.a  and Tian, Q.a  and Huang, Q.b  and Gao, W.c  and Rui, Y.d ",REJECTED,UNCLASSIFIED,2013,ACM International Conference Proceeding Series,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
329,Multi-order visual phrase for scalable partial-duplicate visual search,"Zhang, S.a  and Tian, Q.a  and Huang, Q.b  and Gao, W.c  and Rui, Y.d ",REJECTED,UNCLASSIFIED,2014,Multimedia Systems,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
330,Multiple PiPs detection in unbounded video stream,"Cui, C.a  b  and Zhao, Y.a  b  and Wei, S.a  b  and Zhu, Z.a  b ",REJECTED,UNCLASSIFIED,2013,International Conference on Multimedia and Expo Workshops,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
331,My Day in Review: Visually Summarising Noisy Lifelog Data,"Chowdhury, Soumyadeb and McParlane, Philip J. and Ferdous, Md. Sadek and Jose, Joemon",REJECTED,UNCLASSIFIED,2015, 5th ACM on International Conference on Multimedia Retrieval,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
332,National and local influenza surveillance through twitter: An analysis of the 2012-2013 influenza epidemic,"Broniatowski, D.A.a  b  and Paul, M.J.c  and Dredze, M.d ",REJECTED,UNCLASSIFIED,2013,PLoS ONE,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
333,NeoGeography and the nature of geographic expertise,"Goodchild, M.",REJECTED,UNCLASSIFIED,2009,Journal of Location Based Services,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
334,Non-parametric  Scan  Statistics for  Event  Detection and  Forecasting in  Heterogeneous  Social  Media  Graphs,"Chen, Feng and Neill, Daniel B.",REJECTED,UNCLASSIFIED,2014,20th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
335,"OMG, from Here, I Can  See the  Flames!:  A  Use  Case of  Mining  Location  Based  Social  Networks to  Acquire  Spatio-temporal  Data on  Forest  Fires","De Longueville, Bertrand and Smith, Robin S. and Luraschi, Gianluca",REJECTED,UNCLASSIFIED,2009, International  Workshop on  Location  Based  Social  Networks,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
336,On replica placement in a social CDN for e-Science,"Kugler, K.a  and Caton, S.a  and Chard, K.b  and Katz, D.S.b ",REJECTED,UNCLASSIFIED,2014,10th International Conference on eScience,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
337,On the  Locality of  Keywords in  Twitter  Streams,"Abdelhaq, Hamed and Gertz, Michael",REJECTED,UNCLASSIFIED,2014,5th ACM SIGSPATIAL International  Workshop on GeoStreaming,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
338,On the  Localness of  User-generated  Content,"Hecht, Brent J. and Gergle, Darren",REJECTED,UNCLASSIFIED,2010,Conference on Computer Supported  Cooperative Work,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
339,On the Accuracy of Hyper-local Geotagging of Social Media Content,"Flatow, David and Naaman, Mor and Xie, Ke Eddie and Volkovich, Yana and Kanza, Yaron",REJECTED,UNCLASSIFIED,2015,8th ACM International Conference on Web Search and Data Mining,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
340,On the accuracy of urban crowd-sourcing for maintaining large-scale geospatial databases,"Mashhadi, A.a  and Quattrone, G.a  and Capra, L.a  and Mooney, P.b ",REJECTED,UNCLASSIFIED,2012, 8th Annual International Symposium on Wikis and Open Collaboration,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
341,On the automatic online collection of training data for visual event modeling,"Liu, X. and Huet, B.",REJECTED,UNCLASSIFIED,2014,Multimedia Tools and Applications,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
342,On the map accuracy required for network simulations based on ray launching,"Hanel, T. and Schwamborn, M. and Bothe, A. and Aschenbruck, N.",REJECTED,UNCLASSIFIED,2015,"16th International Symposium on a World of Wireless, Mobile and Multimedia Networks","(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
343,On the use of OpenStreetMap data for V2X channel modeling in urban scenarios,"Nuckelt, J. and Rose, D.M. and Jansen, T. and Kurner, T.",REJECTED,UNCLASSIFIED,2013,7th European Conference on Antennas and Propagation,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
344,One is  Enough:  Distributed  Filtering for  Duplicate  Elimination,"Koloniari, Georgia and Ntarmos, Nikos and Pitoura, Evaggelia and Souravlias, Dimitris",REJECTED,UNCLASSIFIED,2011,20th  ACM  International  Conference on  Information and  Knowledge  Management,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
345,Openstreetmap in Great Britain: Quality and completeness,"O'Brien, O.a  b ",REJECTED,UNCLASSIFIED,2010,Bulletin of the Society of Cartographers,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
