"ID",Title,Authors,Status in the selection phase,Status in the full-reading phase,Year,Journal/Conference,Inclusion or Exclusion Criteria (Selection Phase),Inclusion or Exclusion Criteria (Full-reading Phase),Method,Quality criteria,Collaborative activity,Object under evaluation,Type of approach
485,Using one-class classifiers and multiple kernel learning for defining imprecise geographic regions,"Cunha, E. and Martins, B.",REJECTED,UNCLASSIFIED,2014,International Journal of Geographical Information Science,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
486,Using virtual worlds for socio-cultural modeling,"Perry, E.L.a  and Conger, M.b ",REJECTED,UNCLASSIFIED,2008,Huntsville Simulation Conference,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
487,Using volunteered data in land cover map validation: Mapping tropical forests across West Africa,"Foody, G.M. and Boyd, D.S.",REJECTED,UNCLASSIFIED,2012,International Geoscience and Remote Sensing Symposium (IGARSS),"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
488,Using volunteered data in land cover map validation: Mapping west African forests,"Foody, G.M. and Boyd, D.S.",REJECTED,UNCLASSIFIED,2013,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
489,Utilizing volunteered information for infectious disease surveillance,"Langley, S.A. and Messina, J.P. and Grady, S.C.",REJECTED,UNCLASSIFIED,2013,International Journal of Applied Geospatial Research,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
490,VGI As a Dynamically Updating Data Source in Location-based Services in Urban Environments,"Mooney, Peter and Sun, Huabo and Yan, Lei",REJECTED,UNCLASSIFIED,2011,2nd  International  Workshop on  Ubiquitous  Crowdsouring,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
491,"VIREO/DVMM at TRECVID 2009: High-level feature extraction, automatic video search, and content-based copy detection","Ngo, C.-W.a  and Jiang, Y.-G.a  b  and Wei, X.-Y.a  and Zhao, W.a  and Liu, Y.a  and Wang, J.b  and Zhu, S.a  and Chang, S.-F.b ",REJECTED,UNCLASSIFIED,2009,2009 TREC Video Retrieval Evaluation Notebook Papers,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
492,Virtual interpretation of Earth Web-Interface Tool (VIEW-IT) for collecting land-use/land-cover reference data,"Clark, M.L.a  and Aide, T.M.b ",REJECTED,UNCLASSIFIED,2011,Remote Sensing,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
493,Visualizing perceived spatial data quality of 3D objects within virtualglobes,"Jones, Krista and Devillers, Rodolphe and Bedard, Yvan and Schroth, Olaf",REJECTED,UNCLASSIFIED,2014,International Journal of Digital Earth,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
494,Visualizing Social Media Sentiment in Disaster Scenarios,"Lu, Yafeng and Hu, Xia and Wang, Feng and Kumar, Shamanth and Liu, Huan and Maciejewski, Ross",REJECTED,UNCLASSIFIED,2015,24th International Conference on World Wide Web,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
495,VITEQ: A generic framework for no-reference quality evaluation of video testimonials,"Verstockt, S.a  and De Potter, P.a  and De Neve, W.a  b  and Lambert, P.a  and Van De Walle, R.a ",REJECTED,UNCLASSIFIED,2012,4th International Workshop on Quality of Multimedia Experience,"(E1) the primary study is related to quality assessment, but it is not related to volunteered geographic information; ",,,,,,
496,Volunteered  Geographic  Services:  Developing a  Linked  Data  Driven  Location-based  Service,"Savelyev, Alexander and Xu, Sen and Janowicz, Krzysztof and Mulligann, Christoph and Thatcher, Jim and Luo, Wei",REJECTED,UNCLASSIFIED,2011,1st  ACM  SIGSPATIAL  International  Workshop on  Spatial  Semantics and  Ontologies,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
497,Volunteered geographic information,"Baumann, J.",REJECTED,UNCLASSIFIED,2008,GEO: connexion,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
498,Voxel-based  Global  Illumination,"Thiedemann, Sinje and Henrich, Niklas and Grosch, Thorsten and Muller, Stefan",REJECTED,UNCLASSIFIED,2011,Symposium on  Interactive 3D  Graphics and  Games,(E9) the primary study is not related to quality assessment or volunteered geographic information; ,,,,,,
499,Web-based crowdsourcing approach to improve areawide bikeability scoring,"Krykewycz, G.R.a  and Pollard, C.a  and Canzoneri, N.b  and He, E.a ",REJECTED,UNCLASSIFIED,2011,Transportation Research Record,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
500,Web-based enrichment of bike sensor data for automatic geo-annotation,"Verstockt, S.a  and Slavkovikj, V.a  and Janssens, O.b  and De Potter, P.a  and Slowack, J.c  and Van De Walle, R.a ",REJECTED,UNCLASSIFIED,2013, 2nd ACM SIGSPATIAL International Workshop on Crowdsourced and Volunteered Geographic Information,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
501,What Is New in Our City? A Framework for Event Extraction Using SocialMedia Posts,"Xia, Chaolun and Hu, Jun and Zhu, Yan and Naaman, Mor",REJECTED,UNCLASSIFIED,2015,Advances on Knowledge Discovery and Data Mining,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
502,What is this place? Inferring place categories through user patterns identification in geo-tagged tweets,"Falcone, D. and Mascolo, C. and Comito, C. and Talia, D. and Crowcroft, J.",REJECTED,UNCLASSIFIED,2015,"6th International Conference on Mobile Computing, Applications and Services","(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
503,What you are is when you are: The temporal dimension of feature types in location-based social networks,"Ye, M.a  and Janowicz, K.b  and Mulligann, C.a  and Lee, W.-C.c ",REJECTED,UNCLASSIFIED,2011,ACM International Symposium on Advances in Geographic Information Systems,"(E2) the primary study is related to volunteered geographic information, but it is not related to quality assessment; ",,,,,,
